# Constructed from biom file
#OTU ID	PCR-neg-1	PCR-neg-2	Sa-01	Sa-05	Sem-01	Sem-03	Sk-01	Sk-04	V-01	V-03
JQ449532.1.1391	0.0	0.0	0.0	140.0	0.0	0.0	0.0	0.0	0.0	0.0
KF841942.1.1298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	113.0	0.0	0.0
EU484189.1.1402	0.0	0.0	0.0	0.0	0.0	0.0	50.0	78.0	0.0	0.0
JQ449434.1.1369	0.0	0.0	66.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
AB108825.1.1490	0.0	0.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
JQ447991.1.1404	0.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HM596287.1.1540	0.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KF089720.1.1341	0.0	0.0	0.0	0.0	0.0	0.0	47.0	0.0	0.0	0.0
HQ805158.1.1469	0.0	0.0	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KF098384.1.1337	0.0	0.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FR832424.1.1407	0.0	0.0	0.0	0.0	0.0	0.0	63.0	53.0	0.0	0.0
JF747611.1.1274	0.0	0.0	52.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KF101790.1.1360	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CP003666.348540.350056	0.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AJ936933.1.1345	0.0	0.0	0.0	0.0	0.0	0.0	27.0	38.0	0.0	0.0
MF683391.1.1203	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KF109836.1.1385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0
FJ558236.1.1295	0.0	0.0	58.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KP214608.2.1224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0
EU705022.1.1285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0
